# Biosample	Assay
H9	ChIP-seq POLR2A
H9	ChIP-seq USF1
GM12891	ChIP-seq BHLHE40
GM12891	ChIP-seq H2AFZ
GM12891	ChIP-seq H3K4me2
GM12891	ChIP-seq MAZ
GM12891	ChIP-seq TBP
Loucy	CAGE
Loucy	ChIP-seq GABPA
Loucy	ChIP-seq H3K4ac
Loucy	ChIP-seq MAFK
Loucy	ChIP-seq TAF1
Loucy	total RNA-seq
B cell female adult (27 years)	ChIP-seq FOXA1
B cell female adult (27 years)	ChIP-seq H3K27me3
B cell female adult (27 years)	ChIP-seq JUND
B cell female adult (27 years)	ChIP-seq SP1
B cell female adult (27 years)	polyA depleted RNA-seq
NCI-H929	ChIP-seq EZH2
NCI-H929	ChIP-seq H3K23ac
NCI-H929	ChIP-seq H4K91ac
NCI-H929	ChIP-seq SIN3A
NCI-H929	microRNA-seq
upper lobe of left lung female adult (53 years)	ChIP-seq EP300
upper lobe of left lung female adult (53 years)	ChIP-seq H3K14ac
upper lobe of left lung female adult (53 years)	ChIP-seq H4K20me1
upper lobe of left lung female adult (53 years)	ChIP-seq RFX5
upper lobe of left lung female adult (53 years)	DNase-seq read-depth normalized signal
muscle of leg female embryo (110 days)	ChIP-seq ELF1
muscle of leg female embryo (110 days)	ChIP-seq H2BK5ac
muscle of leg female embryo (110 days)	ChIP-seq H3K9me2
muscle of leg female embryo (110 days)	ChIP-seq RCOR1
muscle of leg female embryo (110 days)	ChIP-seq ZBTB33
chorionic villus male embryo (38 weeks)	ChIP-seq CTCF
chorionic villus male embryo (38 weeks)	ChIP-seq H2BK12ac
chorionic villus male embryo (38 weeks)	ChIP-seq H3K79me2
chorionic villus male embryo (38 weeks)	ChIP-seq POLR2AphosphoS5
chorionic villus male embryo (38 weeks)	ChIP-seq USF2
stomach male adult (37 years)	ChIP-seq CEBPB
stomach male adult (37 years)	ChIP-seq H2AK5ac
stomach male adult (37 years)	ChIP-seq H3K4me3
stomach male adult (37 years)	ChIP-seq NRF1
stomach male adult (37 years)	ChIP-seq TCF12
HeLa-S3	ChIP-seq ATF3
HeLa-S3	ChIP-seq GTF2F1
HeLa-S3	ChIP-seq H3K4me1
HeLa-S3	ChIP-seq MAX
HeLa-S3	ChIP-seq TARDBP
MCF-7	ATAC-seq
MCF-7	ChIP-seq FOXK2
MCF-7	ChIP-seq H3K36me3
MCF-7	ChIP-seq KDM1A
MCF-7	ChIP-seq SUZ12
MCF-7	small RNA-seq
colonic mucosa female adult (73 years)	ChIP-seq EZH2phosphoT487
colonic mucosa female adult (73 years)	ChIP-seq H3K27ac
colonic mucosa female adult (73 years)	ChIP-seq HDAC2
colonic mucosa female adult (73 years)	ChIP-seq SMC3
colonic mucosa female adult (73 years)	polyA RNA-seq
smooth muscle cell originated from H9	ChIP-seq ETS1
smooth muscle cell originated from H9	ChIP-seq H3K18ac
smooth muscle cell originated from H9	ChIP-seq H4K8ac
smooth muscle cell originated from H9	ChIP-seq RXRA
smooth muscle cell originated from H9	RAMPAGE
thymus male child (3 years)	ChIP-seq ELK1
thymus male child (3 years)	ChIP-seq H3F3A
thymus male child (3 years)	ChIP-seq H3K9me3
thymus male child (3 years)	ChIP-seq REST
thymus male child (3 years)	ChIP-seq ZFP36
right atrium auricular region female adult (53 years)	ChIP-seq EGR1
right atrium auricular region female adult (53 years)	ChIP-seq H2BK15ac
right atrium auricular region female adult (53 years)	ChIP-seq H3K9ac
right atrium auricular region female adult (53 years)	ChIP-seq RAD21
right atrium auricular region female adult (53 years)	ChIP-seq YY1
body of pancreas male adult (54 years)	ChIP-seq CHD2
body of pancreas male adult (54 years)	ChIP-seq H2BK120ac
body of pancreas male adult (54 years)	ChIP-seq H3K79me1
body of pancreas male adult (54 years)	ChIP-seq POLR2A
body of pancreas male adult (54 years)	ChIP-seq USF1
placental pericyte female newborn and male newborn	ChIP-seq BHLHE40
placental pericyte female newborn and male newborn	ChIP-seq H2AFZ
placental pericyte female newborn and male newborn	ChIP-seq H3K4me2
placental pericyte female newborn and male newborn	ChIP-seq MAZ
placental pericyte female newborn and male newborn	ChIP-seq TBP
colonic mucosa female adult (56 years)	CAGE
colonic mucosa female adult (56 years)	ChIP-seq GABPA
colonic mucosa female adult (56 years)	ChIP-seq H3K4ac
colonic mucosa female adult (56 years)	ChIP-seq MAFK
colonic mucosa female adult (56 years)	ChIP-seq TAF1
colonic mucosa female adult (56 years)	total RNA-seq
adipocyte originated from mesenchymal stem cell	ChIP-seq FOXA1
adipocyte originated from mesenchymal stem cell	ChIP-seq H3K27me3
adipocyte originated from mesenchymal stem cell	ChIP-seq JUND
adipocyte originated from mesenchymal stem cell	ChIP-seq SP1
adipocyte originated from mesenchymal stem cell	polyA depleted RNA-seq
sigmoid colon male adult (54 years)	ChIP-seq EZH2
sigmoid colon male adult (54 years)	ChIP-seq H3K23ac
sigmoid colon male adult (54 years)	ChIP-seq H4K91ac
sigmoid colon male adult (54 years)	ChIP-seq SIN3A
sigmoid colon male adult (54 years)	microRNA-seq
MM.1S	ChIP-seq EP300
MM.1S	ChIP-seq H3K14ac
MM.1S	ChIP-seq H4K20me1
MM.1S	ChIP-seq RFX5
MM.1S	DNase-seq read-depth normalized signal
mammary epithelial cell female	ChIP-seq ELF1
mammary epithelial cell female	ChIP-seq H2BK5ac
mammary epithelial cell female	ChIP-seq H3K9me2
mammary epithelial cell female	ChIP-seq RCOR1
mammary epithelial cell female	ChIP-seq ZBTB33
cerebellum female embryo (19 weeks) and female embryo (37 weeks)	ChIP-seq CTCF
cerebellum female embryo (19 weeks) and female embryo (37 weeks)	ChIP-seq H2BK12ac
cerebellum female embryo (19 weeks) and female embryo (37 weeks)	ChIP-seq H3K79me2
cerebellum female embryo (19 weeks) and female embryo (37 weeks)	ChIP-seq POLR2AphosphoS5
cerebellum female embryo (19 weeks) and female embryo (37 weeks)	ChIP-seq USF2
common myeloid progenitor, CD34-positive female adult (27 years)	ChIP-seq CEBPB
common myeloid progenitor, CD34-positive female adult (27 years)	ChIP-seq H2AK5ac
common myeloid progenitor, CD34-positive female adult (27 years)	ChIP-seq H3K4me3
common myeloid progenitor, CD34-positive female adult (27 years)	ChIP-seq NRF1
common myeloid progenitor, CD34-positive female adult (27 years)	ChIP-seq TCF12
mucosa of rectum female adult (50 years)	ChIP-seq ATF3
mucosa of rectum female adult (50 years)	ChIP-seq GTF2F1
mucosa of rectum female adult (50 years)	ChIP-seq H3K4me1
mucosa of rectum female adult (50 years)	ChIP-seq MAX
mucosa of rectum female adult (50 years)	ChIP-seq TARDBP
spleen female adult (30 years)	ATAC-seq
spleen female adult (30 years)	ChIP-seq FOXK2
spleen female adult (30 years)	ChIP-seq H3K36me3
spleen female adult (30 years)	ChIP-seq KDM1A
spleen female adult (30 years)	ChIP-seq SUZ12
spleen female adult (30 years)	small RNA-seq
small intestine female adult (30 years)	ChIP-seq EZH2phosphoT487
small intestine female adult (30 years)	ChIP-seq H3K27ac
small intestine female adult (30 years)	ChIP-seq HDAC2
small intestine female adult (30 years)	ChIP-seq SMC3
small intestine female adult (30 years)	polyA RNA-seq
stomach smooth muscle female adult (84 years)	ChIP-seq ETS1
stomach smooth muscle female adult (84 years)	ChIP-seq H3K18ac
stomach smooth muscle female adult (84 years)	ChIP-seq H4K8ac
stomach smooth muscle female adult (84 years)	ChIP-seq RXRA
stomach smooth muscle female adult (84 years)	RAMPAGE
heart right ventricle male child (3 years)	ChIP-seq ELK1
heart right ventricle male child (3 years)	ChIP-seq H3F3A
heart right ventricle male child (3 years)	ChIP-seq H3K9me3
heart right ventricle male child (3 years)	ChIP-seq REST
heart right ventricle male child (3 years)	ChIP-seq ZFP36
gastrocnemius medialis male adult (37 years)	ChIP-seq EGR1
gastrocnemius medialis male adult (37 years)	ChIP-seq H2BK15ac
gastrocnemius medialis male adult (37 years)	ChIP-seq H3K9ac
gastrocnemius medialis male adult (37 years)	ChIP-seq RAD21
gastrocnemius medialis male adult (37 years)	ChIP-seq YY1
neural progenitor cell originated from H9	ChIP-seq CHD2
neural progenitor cell originated from H9	ChIP-seq H2BK120ac
neural progenitor cell originated from H9	ChIP-seq H3K79me1
neural progenitor cell originated from H9	ChIP-seq POLR2A
neural progenitor cell originated from H9	ChIP-seq USF1
liver male adult (78 years)	ChIP-seq BHLHE40
liver male adult (78 years)	ChIP-seq H2AFZ
liver male adult (78 years)	ChIP-seq H3K4me2
liver male adult (78 years)	ChIP-seq MAZ
liver male adult (78 years)	ChIP-seq TBP
sigmoid colon male adult (37 years)	CAGE
sigmoid colon male adult (37 years)	ChIP-seq GABPA
sigmoid colon male adult (37 years)	ChIP-seq H3K4ac
sigmoid colon male adult (37 years)	ChIP-seq MAFK
sigmoid colon male adult (37 years)	ChIP-seq TAF1
sigmoid colon male adult (37 years)	total RNA-seq
endothelial cell of umbilical vein male newborn	ChIP-seq FOXA1
endothelial cell of umbilical vein male newborn	ChIP-seq H3K27me3
endothelial cell of umbilical vein male newborn	ChIP-seq JUND
endothelial cell of umbilical vein male newborn	ChIP-seq SP1
endothelial cell of umbilical vein male newborn	polyA depleted RNA-seq
fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	ChIP-seq EZH2
fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	ChIP-seq H3K23ac
fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	ChIP-seq H4K91ac
fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	ChIP-seq SIN3A
fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	microRNA-seq
liver male adult (32 years)	ChIP-seq EP300
liver male adult (32 years)	ChIP-seq H3K14ac
liver male adult (32 years)	ChIP-seq H4K20me1
liver male adult (32 years)	ChIP-seq RFX5
liver male adult (32 years)	DNase-seq read-depth normalized signal
CD14-positive monocyte female	ChIP-seq ELF1
CD14-positive monocyte female	ChIP-seq H2BK5ac
CD14-positive monocyte female	ChIP-seq H3K9me2
CD14-positive monocyte female	ChIP-seq RCOR1
CD14-positive monocyte female	ChIP-seq ZBTB33
mesenchymal stem cell of adipose	ChIP-seq CTCF
mesenchymal stem cell of adipose	ChIP-seq H2BK12ac
mesenchymal stem cell of adipose	ChIP-seq H3K79me2
mesenchymal stem cell of adipose	ChIP-seq POLR2AphosphoS5
mesenchymal stem cell of adipose	ChIP-seq USF2
skin of body female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq CEBPB
skin of body female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq H2AK5ac
skin of body female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq H3K4me3
skin of body female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq NRF1
skin of body female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq TCF12
gastrocnemius medialis female adult (53 years)	ChIP-seq ATF3
gastrocnemius medialis female adult (53 years)	ChIP-seq GTF2F1
gastrocnemius medialis female adult (53 years)	ChIP-seq H3K4me1
gastrocnemius medialis female adult (53 years)	ChIP-seq MAX
gastrocnemius medialis female adult (53 years)	ChIP-seq TARDBP
esophagus muscularis mucosa female adult (53 years)	ATAC-seq
esophagus muscularis mucosa female adult (53 years)	ChIP-seq FOXK2
esophagus muscularis mucosa female adult (53 years)	ChIP-seq H3K36me3
esophagus muscularis mucosa female adult (53 years)	ChIP-seq KDM1A
esophagus muscularis mucosa female adult (53 years)	ChIP-seq SUZ12
esophagus muscularis mucosa female adult (53 years)	small RNA-seq
keratinocyte nuclear fraction female	ChIP-seq EZH2phosphoT487
keratinocyte nuclear fraction female	ChIP-seq H3K27ac
keratinocyte nuclear fraction female	ChIP-seq HDAC2
keratinocyte nuclear fraction female	ChIP-seq SMC3
keratinocyte nuclear fraction female	polyA RNA-seq
metanephros female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq ETS1
metanephros female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq H3K18ac
metanephros female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq H4K8ac
metanephros female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq RXRA
metanephros female embryo (20 weeks) and female embryo (24 weeks)	RAMPAGE
thymus female embryo (110 days)	ChIP-seq ELK1
thymus female embryo (110 days)	ChIP-seq H3F3A
thymus female embryo (110 days)	ChIP-seq H3K9me3
thymus female embryo (110 days)	ChIP-seq REST
thymus female embryo (110 days)	ChIP-seq ZFP36
common myeloid progenitor, CD34-positive male adult (36 years)	ChIP-seq EGR1
common myeloid progenitor, CD34-positive male adult (36 years)	ChIP-seq H2BK15ac
common myeloid progenitor, CD34-positive male adult (36 years)	ChIP-seq H3K9ac
common myeloid progenitor, CD34-positive male adult (36 years)	ChIP-seq RAD21
common myeloid progenitor, CD34-positive male adult (36 years)	ChIP-seq YY1
OCI-LY1	ChIP-seq CHD2
OCI-LY1	ChIP-seq H2BK120ac
OCI-LY1	ChIP-seq H3K79me1
OCI-LY1	ChIP-seq POLR2A
OCI-LY1	ChIP-seq USF1
neural cell	ChIP-seq BHLHE40
neural cell	ChIP-seq H2AFZ
neural cell	ChIP-seq H3K4me2
neural cell	ChIP-seq MAZ
neural cell	ChIP-seq TBP
amnion male embryo (16 weeks)	CAGE
amnion male embryo (16 weeks)	ChIP-seq GABPA
amnion male embryo (16 weeks)	ChIP-seq H3K4ac
amnion male embryo (16 weeks)	ChIP-seq MAFK
amnion male embryo (16 weeks)	ChIP-seq TAF1
amnion male embryo (16 weeks)	total RNA-seq
IMR-90 cytosolic fraction	ChIP-seq FOXA1
IMR-90 cytosolic fraction	ChIP-seq H3K27me3
IMR-90 cytosolic fraction	ChIP-seq JUND
IMR-90 cytosolic fraction	ChIP-seq SP1
IMR-90 cytosolic fraction	polyA depleted RNA-seq
heart right ventricle male adult (34 years)	ChIP-seq EZH2
heart right ventricle male adult (34 years)	ChIP-seq H3K23ac
heart right ventricle male adult (34 years)	ChIP-seq H4K91ac
heart right ventricle male adult (34 years)	ChIP-seq SIN3A
heart right ventricle male adult (34 years)	microRNA-seq
OCI-LY3	ChIP-seq EP300
OCI-LY3	ChIP-seq H3K14ac
OCI-LY3	ChIP-seq H4K20me1
OCI-LY3	ChIP-seq RFX5
OCI-LY3	DNase-seq read-depth normalized signal
muscle layer of duodenum male adult (73 years)	ChIP-seq ELF1
muscle layer of duodenum male adult (73 years)	ChIP-seq H2BK5ac
muscle layer of duodenum male adult (73 years)	ChIP-seq H3K9me2
muscle layer of duodenum male adult (73 years)	ChIP-seq RCOR1
muscle layer of duodenum male adult (73 years)	ChIP-seq ZBTB33
GM23338 male adult (53 years) originated from GM23248	ChIP-seq CTCF
GM23338 male adult (53 years) originated from GM23248	ChIP-seq H2BK12ac
GM23338 male adult (53 years) originated from GM23248	ChIP-seq H3K79me2
GM23338 male adult (53 years) originated from GM23248	ChIP-seq POLR2AphosphoS5
GM23338 male adult (53 years) originated from GM23248	ChIP-seq USF2
Karpas-422	ChIP-seq CEBPB
Karpas-422	ChIP-seq H2AK5ac
Karpas-422	ChIP-seq H3K4me3
Karpas-422	ChIP-seq NRF1
Karpas-422	ChIP-seq TCF12
angular gyrus male adult (81 year)	ChIP-seq ATF3
angular gyrus male adult (81 year)	ChIP-seq GTF2F1
angular gyrus male adult (81 year)	ChIP-seq H3K4me1
angular gyrus male adult (81 year)	ChIP-seq MAX
angular gyrus male adult (81 year)	ChIP-seq TARDBP
ovary female adult (53 years)	ATAC-seq
ovary female adult (53 years)	ChIP-seq FOXK2
ovary female adult (53 years)	ChIP-seq H3K36me3
ovary female adult (53 years)	ChIP-seq KDM1A
ovary female adult (53 years)	ChIP-seq SUZ12
ovary female adult (53 years)	small RNA-seq
subcutaneous adipose tissue male adult (37 years)	ChIP-seq EZH2phosphoT487
subcutaneous adipose tissue male adult (37 years)	ChIP-seq H3K27ac
subcutaneous adipose tissue male adult (37 years)	ChIP-seq HDAC2
subcutaneous adipose tissue male adult (37 years)	ChIP-seq SMC3
subcutaneous adipose tissue male adult (37 years)	polyA RNA-seq
HT-29	ChIP-seq ETS1
HT-29	ChIP-seq H3K18ac
HT-29	ChIP-seq H4K8ac
HT-29	ChIP-seq RXRA
HT-29	RAMPAGE
vagina female adult (53 years)	ChIP-seq ELK1
vagina female adult (53 years)	ChIP-seq H3F3A
vagina female adult (53 years)	ChIP-seq H3K9me3
vagina female adult (53 years)	ChIP-seq REST
vagina female adult (53 years)	ChIP-seq ZFP36
HepG2 nuclear fraction	ChIP-seq EGR1
HepG2 nuclear fraction	ChIP-seq H2BK15ac
HepG2 nuclear fraction	ChIP-seq H3K9ac
HepG2 nuclear fraction	ChIP-seq RAD21
HepG2 nuclear fraction	ChIP-seq YY1
parietal lobe female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq CHD2
parietal lobe female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq H2BK120ac
parietal lobe female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq H3K79me1
parietal lobe female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq POLR2A
parietal lobe female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq USF1
HCT116	ChIP-seq BHLHE40
HCT116	ChIP-seq H2AFZ
HCT116	ChIP-seq H3K4me2
HCT116	ChIP-seq MAZ
HCT116	ChIP-seq TBP
HEK293T	CAGE
HEK293T	ChIP-seq GABPA
HEK293T	ChIP-seq H3K4ac
HEK293T	ChIP-seq MAFK
HEK293T	ChIP-seq TAF1
HEK293T	total RNA-seq
SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours	ChIP-seq FOXA1
SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours	ChIP-seq H3K27me3
SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours	ChIP-seq JUND
SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours	ChIP-seq SP1
SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours	polyA depleted RNA-seq
neural stem progenitor cell originated from H9	ChIP-seq EZH2
neural stem progenitor cell originated from H9	ChIP-seq H3K23ac
neural stem progenitor cell originated from H9	ChIP-seq H4K91ac
neural stem progenitor cell originated from H9	ChIP-seq SIN3A
neural stem progenitor cell originated from H9	microRNA-seq
Panc1	ChIP-seq EP300
Panc1	ChIP-seq H3K14ac
Panc1	ChIP-seq H4K20me1
Panc1	ChIP-seq RFX5
Panc1	DNase-seq read-depth normalized signal
