# Biosample	Assay
B cell male adult (37 years)	ATAC-seq
adrenal gland male embryo (97 days)	ChIP-seq H3K23ac
K562	ChIP-seq RXRA
GM12878 cytosolic fraction	ChIP-seq FOXK2
OCI-LY7	ChIP-seq ETS1
HEK293T	ChIP-seq TAF1
SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours	ChIP-seq FOXA1
mesenchymal stem cell originated from adipose tissue	ChIP-seq CEBPB
HT-29	ChIP-seq H4K8ac
adipocyte originated from mesenchymal stem cell	ChIP-seq FOXA1
ascending aorta female adult (51 year)	ChIP-seq ELK1
mesenchymal stem cell of adipose	ChIP-seq CTCF
adrenal gland male adult (37 years)	ChIP-seq H2AK5ac
skeletal muscle satellite cell female adult (64 years) and male adult (21 year)	ChIP-seq REST
GM12892	ChIP-seq ZBTB33
PC-9	ChIP-seq H3K4me1
myotube	polyA RNA-seq
layer of hippocampus male adult (81 year)	ChIP-seq SIN3A
MCF-7	ChIP-seq KDM1A
brain male embryo (122 days)	ChIP-seq H3K27me3
neural progenitor cell originated from H9	ChIP-seq H2BK120ac
A375	ChIP-seq H3K4me2
K562 nuclear fraction	ChIP-seq H3K9me2
H1-hESC	ChIP-seq H2AFZ
keratinocyte cytosolic fraction female	ChIP-seq EGR1
HT1080	ChIP-seq H3K4ac
gastroesophageal sphincter male adult (54 years)	ChIP-seq USF1
skeletal muscle tissue female embryo (19 weeks) and male embryo (22 weeks)	ChIP-seq FOXA1
common myeloid progenitor, CD34-positive	ChIP-seq EZH2phosphoT487
NT2/D1	ChIP-seq H3K9me2
thoracic aorta male adult (37 years)	ChIP-seq H4K91ac
chorionic villus male embryo (38 weeks)	ChIP-seq POLR2AphosphoS5
fibroblast of breast female adult (26 years)	ChIP-seq ZBTB33
Daoy	DNase-seq read-depth normalized signal
smooth muscle cell originated from H9	ChIP-seq RXRA
Panc1	ChIP-seq EP300
liver female child (4 years)	ChIP-seq ETS1
MM.1S	ChIP-seq H3K14ac
neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq H2BK15ac
stomach smooth muscle male adult (59 years)	ChIP-seq H3K79me2
GM12891	ChIP-seq BHLHE40
A549 treated with 100 nM dexamethasone for 1 hour	ChIP-seq TCF12
foreskin fibroblast male newborn	microRNA-seq
NCI-H929	ChIP-seq SIN3A
stomach male adult (34 years)	ChIP-seq H4K20me1
tongue female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq FOXK2
HL-60	ChIP-seq CEBPB
peripheral blood mononuclear cell male adult (39 years)	ChIP-seq H3K4ac
GM12878	ChIP-seq H2BK12ac
neural stem progenitor cell originated from H1-hESC	ChIP-seq H3K9me3
upper lobe of left lung female adult (51 year)	ChIP-seq H2AK5ac
thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)	ChIP-seq MAFK
foreskin keratinocyte male newborn	ChIP-seq H3K4me1
upper lobe of left lung female adult (51 year)	ChIP-seq NRF1
neutrophil	ChIP-seq H3K79me2
chorionic villus embryo (16 weeks)	polyA depleted RNA-seq
placental epithelial cell female newborn and male newborn	ChIP-seq EP300
placenta embryo (16 weeks)	ChIP-seq H3K79me1
small intestine male child (3 years)	ChIP-seq H3K18ac
GM12878 cytosolic fraction	ChIP-seq KDM1A
myoepithelial cell of mammary gland female adult (33 years)	ChIP-seq KDM1A
placenta male embryo (16 weeks)	ChIP-seq H3K9me2
HL-60	ChIP-seq NRF1
trophoblast female embryo (40 weeks)	ChIP-seq RFX5
right lobe of liver female adult (53 years)	ChIP-seq EZH2phosphoT487
trophoblast female embryo (20 weeks)	ChIP-seq TCF12
HepG2	ChIP-seq ZBTB33
MCF-7	small RNA-seq
heart right ventricle male child (3 years)	ChIP-seq H3F3A
GM12878 cytosolic fraction	small RNA-seq
Caco-2	ChIP-seq RCOR1
adrenal gland female adult (51 year)	ChIP-seq H3K18ac
neural stem progenitor cell originated from H9	ChIP-seq H3K23ac
esophagus female adult (30 years)	ChIP-seq MAX
thyroid gland male adult (54 years)	ChIP-seq KDM1A
IMR-90	ChIP-seq H3F3A
adrenal gland male embryo (97 days)	microRNA-seq
ectodermal cell originated from embryonic stem cell	ChIP-seq EP300
BJ	ChIP-seq H4K91ac
metanephros female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq H3K18ac
endodermal cell originated from HUES64	polyA depleted RNA-seq
endodermal cell originated from HUES64	ChIP-seq FOXA1
trophoblast female embryo (40 weeks)	ChIP-seq EP300
suprapubic skin male adult (37 years)	ChIP-seq H2BK15ac
subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)	ChIP-seq H2AK5ac
psoas muscle male adult (34 years)	polyA depleted RNA-seq
kidney male adult (67 years)	ChIP-seq H2BK5ac
SK-N-DZ cytosolic fraction	ChIP-seq MAFK
esophagus squamous epithelium female adult (51 year)	ChIP-seq H3K36me3
omental fat pad male adult (37 years)	ChIP-seq SMC3
foreskin melanocyte male newborn	ChIP-seq H3K9me3
GM06990	ChIP-seq SUZ12
GM12878 nucleolus fraction	ChIP-seq ZFP36
foreskin melanocyte male newborn	ChIP-seq H3F3A
NCI-H460	ChIP-seq SUZ12
SU-DHL-6	ChIP-seq H3K9me2
SJCRH30	ChIP-seq H2BK12ac
Loucy	ChIP-seq TAF1
chorionic villus female embryo (40 weeks)	ChIP-seq REST
keratinocyte cytosolic fraction female	ChIP-seq H2BK15ac
small intestine female adult (30 years)	ChIP-seq SMC3
HUES64	microRNA-seq
MM.1S	ChIP-seq H4K20me1
spleen female adult (30 years)	small RNA-seq
myotube	ChIP-seq H3K27ac
stomach male adult (37 years)	ChIP-seq CEBPB
Parathyroid adenoma male adult (62 years)	total RNA-seq
cardiac muscle cell	microRNA-seq
iPS DF 6.9 male newborn	DNase-seq read-depth normalized signal
temporal lobe female adult (75 years)	ChIP-seq H3K79me1
spleen female adult (53 years)	ChIP-seq H2BK15ac
HUES6	ChIP-seq ETS1
uterus female embryo (24 weeks) and female embryo (28 weeks)	ChIP-seq ATF3
liver male adult (32 years)	ChIP-seq H4K20me1
UCSF-4	ChIP-seq ELK1
HCT116	ChIP-seq BHLHE40
lung female embryo (120 days)	ChIP-seq EP300
lung female embryo (120 days)	ChIP-seq H3K14ac
gastrocnemius medialis female adult (51 year)	ChIP-seq FOXA1
psoas muscle male adult (34 years)	ChIP-seq H3K27me3
neurosphere female embryo (17 weeks) originated from ganglionic eminence	ChIP-seq SP1
neuron originated from H9	ChIP-seq H2AFZ
psoas muscle male child (3 years)	ChIP-seq H2BK15ac
HL-60	ChIP-seq H2AK5ac
endodermal cell originated from HUES64	ChIP-seq H3K27me3
sigmoid colon male adult (34 years)	ChIP-seq FOXA1
lung female embryo (120 days)	ChIP-seq RFX5
Karpas-422	ChIP-seq CEBPB
mammary epithelial cell female	ChIP-seq ZBTB33
UCSF-4	ChIP-seq H3K9me3
omental fat pad male adult (37 years)	ChIP-seq EZH2phosphoT487
liver female adult (25 years)	ChIP-seq EZH2phosphoT487
aorta female adult (30 years)	ChIP-seq H3K4me2
stomach smooth muscle female adult (84 years)	ChIP-seq ETS1
neurosphere female embryo (17 weeks) originated from cortex	ChIP-seq KDM1A
OCI-LY1	ChIP-seq USF1
mesenchymal stem cell originated from adipose tissue	ChIP-seq NRF1
Parathyroid adenoma male adult (62 years)	ChIP-seq MAFK
CD8-positive, alpha-beta memory T cell	ChIP-seq H3K4me1
GM06990	small RNA-seq
thymus female embryo (110 days)	ChIP-seq ZFP36
ovary female adult (51 year)	ChIP-seq FOXA1
transverse colon female adult (53 years)	ChIP-seq H3K23ac
H1-hESC cytosolic fraction	ChIP-seq FOXK2
myoepithelial cell of mammary gland female adult (36 years)	ChIP-seq RFX5
H4	ChIP-seq SUZ12
endothelial cell of umbilical vein male newborn	ChIP-seq FOXA1
hepatocyte originated from H9	ChIP-seq MAZ
MCF-7 nuclear fraction	ChIP-seq H3K27me3
pancreas male adult (34 years)	ChIP-seq H3K4me1
common myeloid progenitor, CD34-positive male adult (36 years)	ChIP-seq H2BK15ac
skeletal muscle tissue female adult (72 years)	ChIP-seq KDM1A
gastrocnemius medialis female adult (53 years)	ChIP-seq H3K4me1
rectal smooth muscle tissue female adult (50 years)	ChIP-seq H3K9me3
liver female child (4 years)	ChIP-seq H3K18ac
DOHH2	polyA depleted RNA-seq
fibroblast of dermis female adult (44 years) and female adult (55 years)	ChIP-seq HDAC2
Daoy	ChIP-seq EP300
MM.1S	ChIP-seq EP300
sigmoid colon female adult (53 years)	ChIP-seq POLR2AphosphoS5
neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq EGR1
GM12878 nucleolus fraction	ChIP-seq REST
prostate gland male adult (54 years)	ChIP-seq FOXK2
NCI-H460 nuclear fraction	ChIP-seq H3K79me1
mesenchymal stem cell of the bone marrow	ChIP-seq POLR2A
angular gyrus male adult (81 year)	ChIP-seq MAX
DOHH2	ChIP-seq FOXA1
heart female embryo (19 weeks) and female embryo (28 weeks)	ChIP-seq H2BK12ac
adrenal gland female adult (30 years)	ChIP-seq H2BK5ac
B cell male adult (37 years)	ChIP-seq KDM1A
testis male adult (54 years)	ChIP-seq POLR2A
